행정기관코드,행정기관코드/100,법정동코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수
1100000000,11000000,#N/A,서울특별시  ,10200440,4094350,5062552,5137888
1111000000,11110000,#N/A,서울특별시 종로구 ,170587,74565,85427,85160
1111051000,11110510,1101051,서울특별시 종로구 청운동,4739,1680,2420,2319
1111052000,11110520,1101052,서울특별시 종로구 효자동,11892,4760,5753,6139
1111053000,11110530,1101053,서울특별시 종로구 사직동,9897,4393,4673,5224
1111054000,11110540,1101054,서울특별시 종로구 삼청동,3702,1707,1795,1907
1111055000,11110550,1101055,서울특별시 종로구 부암동,11625,4608,5767,5858
1111056000,11110560,1101056,서울특별시 종로구 평창동,19391,7074,9447,9944
1111057000,11110570,1101057,서울특별시 종로구 무악동,8624,3159,4182,4442
1111058000,11110580,1101058,서울특별시 종로구 교남동,9178,4413,4504,4674
1111060000,11110600,1101060,서울특별시 종로구 가회동,5836,2496,2831,3005
1111061500,11110615,1101061,서울특별시 종로구 종로1.2.3.4가동,7202,4398,4060,3142
1111063000,11110630,1101063,서울특별시 종로구 종로5.6가동,6528,3045,3489,3039
1111064000,11110640,1101064,서울특별시 종로구 이화동,9608,4534,4660,4948
1111065000,11110650,1101065,서울특별시 종로구 혜화동,12312,5616,6040,6272
1111066000,11110660,1101066,서울특별시 종로구 명륜3가동,6740,3734,3720,3020
1111067000,11110670,1101067,서울특별시 종로구 창신제1동,7067,3486,3649,3418
1111068000,11110680,1101068,서울특별시 종로구 창신제2동,11977,5121,6104,5873
1111069000,11110690,1101069,서울특별시 종로구 창신제3동,8652,3167,4371,4281
1111070000,11110700,1101070,서울특별시 종로구 숭인제1동,7359,3099,3644,3715
1111071000,11110710,1101071,서울특별시 종로구 숭인제2동,8258,4075,4318,3940
1114000000,11140000,#N/A,서울특별시 중구 ,130720,58287,65295,65425
1114052000,11140520,1102052,서울특별시 중구 소공동,1038,548,527,511
1114054000,11140540,1102054,서울특별시 중구 회현동,4524,2633,2479,2045
1114055000,11140550,1102055,서울특별시 중구 명동,2831,1332,1241,1590
1114057000,11140570,1102057,서울특별시 중구 필동,4639,2294,2447,2192
1114058000,11140580,1102058,서울특별시 중구 장충동,5849,2948,2940,2909
